method,n_ref,n_classified_AF_SR,n_OA,n_UI,n_missing,tp,fp,tn,fn,classified_rate,OA_rate,UI_rate,missing_rate,sensitivity,specificity,accuracy,PPV,NPV,F1,AUC
PCG,67,26,0,41,0,7.0,2.0,16.0,1.0,0.3880597014925373,0.0,0.6119402985074627,0.0,0.875,0.8888888888888888,0.8846153846153846,0.7777777777777778,0.9411764705882352,0.823529411764706,0.9444444444444444
FibriCheck iOS,67,61,4,2,0,16.0,1.0,44.0,0.0,0.9104477611940298,0.0597014925373134,0.0298507462686567,0.0,1.0,0.9777777777777776,0.9836065573770492,0.9411764705882352,1.0,0.9696969696969696,
FibriCheck Android,67,38,2,27,0,10.0,0.0,28.0,0.0,0.5671641791044776,0.0298507462686567,0.4029850746268656,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
Kardia,67,57,7,1,2,13.0,1.0,43.0,0.0,0.8507462686567164,0.1044776119402985,0.0149253731343283,0.0298507462686567,1.0,0.9772727272727272,0.9824561403508772,0.9285714285714286,1.0,0.962962962962963,
